paper_id,title,kmeans_cluster
d18c27657893355ee7b282976be800b7ce68dfd7,Lecanemab in Early Alzheimer's Disease.,2
51a19a44249abc555782fdd441cedd26b5a773f0,2023 Alzheimer's disease facts and figures,2
6e8be34889a4b5f8650dc893f8b366a05baab254,Revised criteria for diagnosis and staging of Alzheimer's disease: Alzheimer's Association Workgroup,4
8e14c84f475588c91d779634957ac45c0b55973a,2024 Alzheimer's disease facts and figures,2
fa78b9b164ea8822e775f65d4f6c22f00887c92c,New insights into the genetic etiology of Alzheimer’s disease and related dementias,2
a5be75de4f611aafae1f2bb3d1b0f36981730a14,2022 Alzheimer's disease facts and figures,2
4a5411232aad871e15ef6e5fd43422a1242675cf,Comprehensive Review on Alzheimer’s Disease: Causes and Treatment,3
9617bd330478da187626e06dd5a5e05ba9530edc,2021 Alzheimer's disease facts and figures,2
2a3f8208aadb36d1c90d869252fa5f052bace572,Single-cell transcriptomic analysis of Alzheimer’s disease,3
33caecb2cd1ae27f8c8262633ab636052b1637e1,The neuropathological diagnosis of Alzheimer’s disease,3
0585533f99b3aa700aa674590012c96739b8eff2,Genome-wide meta-analysis identifies new loci and functional pathways influencing Alzheimer’s disease risk,3
b602087626c2aa8fd21c0974efb0c3ed16c46c2c,Population estimate of people with clinical Alzheimer's disease and mild cognitive impairment in the United States (2020–2060),2
47566584c77bdc688a0287f9093920f50c14efa9,2020 Alzheimer's disease facts and figures,2
a35fa5a99e83433905d4c13f5fcf888859b75782,NIA-AA Research Framework: Toward a biological definition of Alzheimer’s disease,4
14432239a5ce62e6668d87082679da34186f7499,"Genetic meta-analysis of diagnosed Alzheimer’s disease identifies new risk loci and implicates Aβ, tau, immunity and lipid processing",1
5eb19d1951890e3eb933f261fcbdf31c0df3f5aa,"Global, regional, and national burden of Alzheimer's disease and other dementias, 1990–2016: a systematic analysis for the Global Burden of Disease Study 2016",2
5e92ac79f8fd89b1dfe1dda97966ff30b8defd50,Donanemab in Early Alzheimer's Disease.,2
7650a9e9adf007166847a75dd1a3038f4109875b,2019 Alzheimer's disease facts and figures,2
44576d6f297cf4d411545ed1467999e9dcacb9b3,"Genetic meta-analysis of diagnosed Alzheimer’s disease identifies new risk loci and implicates Aβ, tau, immunity and lipid processing",1
f7433a85abc3b08095f572afbf50e7c495296d53,2025 Alzheimer's disease facts and figures,2
ab43362d0b11b22a2990fae7310765ca67f1c4f2,2018 Alzheimer's disease facts and figures,3
34b0d5e137f7c21deb47426f9644255569c01ead,The Amyloid-β Pathway in Alzheimer’s Disease,3
42cf135e52bf19e018b91a9dde73003068e354ca,Porphyromonas gingivalis in Alzheimer’s disease brains: Evidence for disease causation and treatment with small-molecule inhibitors,1
3b2efdbe935287d6cc2104d6ffb97d88d85a274d,"Global, regional, and national burden of Alzheimer's disease and other dementias, 1990–2019",2
0f2aa6ed82c4784911adf6516a4d87946280ac3b,Two Randomized Phase 3 Studies of Aducanumab in Early Alzheimer’s Disease,2
69ce7d3fc73d68eca86a6e67a6158687aed1c8b1,Mitophagy inhibits amyloid-β and tau pathology and reverses cognitive deficits in models of Alzheimer’s disease,1
c714be0b034e826ed54fdf4e2d0182b25fdde6f8,Alzheimer's disease,3
5aaf380a632942d41ec50bac49abb001dfc393ca,Inflammation as a central mechanism in Alzheimer's disease,1
3d592d0e7821d1b2bbe7cc80bc294f6900bcdb78,Mitochondrial Dysfunction in Alzheimer's Disease.,3
6497f5a878cb7390e63934b8527c36bd40cf7f74,Global estimates on the number of persons across the Alzheimer's disease continuum,4
b01b377eb911c9a125a6f6c992704790c2e2d659,Neurobiology of Alzheimer's Disease,3
4ded827d26e55408384b621138c9cc4b7dfe9ec4,Integrated multimodal cell atlas of Alzheimer’s disease,3
87d12ee567226409225dbab1b1010f15111ace6b,Adult hippocampal neurogenesis is abundant in neurologically healthy subjects and drops sharply in patients with Alzheimer’s disease,3
04c46912191f7759a4edb9dbd689b651e3bc2f11,Single-nucleus chromatin accessibility and transcriptomic characterization of Alzheimer’s disease,3
06b30efe8aaf3311cd948a56b2470ce75037beb0,"IL-1β, IL-6, TNF- α and CRP in Elderly Patients with Depression or Alzheimer’s disease: Systematic Review and Meta-Analysis",2
a4addb35b2fe4d7b1309b3d45e5f11aa59ce514f,Disease-associated astrocytes in Alzheimer’s disease and aging,1
4de5954f0ca3ee4687dd79ca21f379ba80d4bf5d,"A Dataset of Scalp EEG Recordings of Alzheimer's Disease, Frontotemporal Dementia and Healthy Subjects from Routine EEG",5
403a5aefdc0c66f64029809243f84878c8677bae,APOE4/4 is linked to damaging lipid droplets in Alzheimer’s disease microglia,1
d0f8b33eac81da6658650a4a35bb9bddcfa09299,"Alzheimer’s disease: pathogenesis, diagnostics, and therapeutics",1
dc5f525087f24d7c6a95d667de138557d460fc7e,Clinical diagnosis of Alzheimer’s disease: Recommendations of the International Working Group (IWG),4
6a877de46c2f6fef6173c714015c83589b795d5e,Human microglial state dynamics in Alzheimer's disease progression.,1
d7444690da4442ba0cdca3a07b20a88486ff50d0,"APOE and Alzheimer’s Disease: Advances in Genetics, Pathophysiology, and Therapeutic Approaches.",1
268c3c3c76dd31674ca43f7804186bef72732b79,"A genome-wide association study with 1,126,563 individuals identifies new risk loci for Alzheimer’s disease",3
9e86f9053661218a4d7e96164aca758f5aa06629,Convolutional Neural Networks for Classification of Alzheimer's Disease: Overview and Reproducible Evaluation,5
cfed7b553824ae794d40e7396224cbc200b44b1c,High performance plasma amyloid-β biomarkers for Alzheimer’s disease,4
b8db7d9e64845a5b32a9b467a78fc8f33534a185,The Epidemiology of Alzheimer's Disease Modifiable Risk Factors and Prevention,2
6354dad3769ddf9d9537c8a36137788721072a58,Disease prediction using graph convolutional networks: Application to Autism Spectrum Disorder and Alzheimer's disease,5
e41bfc4708f0389c70833bc0e2f17b5f5c365272,Alzheimer's disease neuroimaging,4
70d44b215d6018058e9f872836da1d8c582e4a1b,Racial and ethnic estimates of Alzheimer's disease and related dementias in the United States (2015–2060) in adults aged ≥65 years,2
391adb47e61a3b92ada9dfb5d94a86802ac5d779,A single-cell atlas of entorhinal cortex from individuals with Alzheimer’s disease reveals cell-type-specific gene expression regulation,1
f990c48d12c006f662d69f0580d04e0a3f02323a,Acceptable performance of blood biomarker tests of amyloid pathology — recommendations from the Global CEO Initiative on Alzheimer’s Disease,4
5417c2e7e1bd6ecf36fd41acc258dd96b5bb450a,The cost of Alzheimer's disease in China and re‐estimation of costs worldwide,2
