nct_id,brief_title,official_title,overall_status,start_date,completion_date,study_type,phases,primary_purpose,enrollment_count,sponsor_name,sponsor_class,conditions,interventions,countries,minimum_age,maximum_age,sex,eligibility_criteria,primary_outcomes,brief_summary,trial_text
NCT06453941,Yizhi Baduanjin for Patients With Cognitive Impairment,The Validation and Beneficial Effects of Yizhi Baduanjin for Patients With Mild Cognitive Impairment: a Pilot Randomised Controlled Trial,TERMINATED,2023-05-01,2025-04-01,INTERVENTIONAL,NA,PREVENTION,1.0,The University of Hong Kong,OTHER,Mild Cognitive Impairment (MCI),Yizhi Baduanjin (Eight Pieces of Brocades for Mental Health Promotion),Hong Kong,60 Years,75 Years,ALL,"Inclusion Criteria:

1. 60 to 75 years old.
2. Voluntarily and sign the informed consent form.
3. Non-handicapped, able to complete the cognitive function examination.
4. Fulfill the diagnostic criteria.
5. Montreal Cognitive Assessment (MoCA )Scale \< 26

Exclusion Criteria:

1. Fail to meet the inclusion criteria.
2. Fail to comply to the requirements, or fail to complete the examination.
3. Unwilling or unable to learn and practice the Yizhi Baduanjin routine.",Changes in Montreal Cognitive Assessment (MoCA ),"The trial is designed to examine whether Yizhi Baduanjin could slow down and improve in memory, logical thinking and cerebral function in patients with mild cognitive impairment (MCI). 30 MCI patients will be recruited and randomly assigned to Yizhi Baduanjin intervention group control group for 6 months. The primary outcome is changes in Montreal Cognitive Assessment (MoCA) questionnaire; other outcome includes Cognitive Function Assessment questionnaire.","Yizhi Baduanjin for Patients With Cognitive Impairment The trial is designed to examine whether Yizhi Baduanjin could slow down and improve in memory, logical thinking and cerebral function in patients with mild cognitive impairment (MCI). 30 MCI patients will be recruited and randomly assigned to Yizhi Baduanjin intervention group control group for 6 months. The primary outcome is changes in Montreal Cognitive Assessment (MoCA) questionnaire; other outcome includes Cognitive Function Assessment questionnaire."
NCT04488419,ATH-1017 for Treatment of Mild to Moderate Alzheimer's Disease,"A Randomized, Placebo-Controlled, Double-Blind Study of ATH-1017 Treatment in Subjects With Mild to Moderate Alzheimer's Disease",COMPLETED,2020-09-28,2024-07-15,INTERVENTIONAL,PHASE2|PHASE3,TREATMENT,554.0,LeonaBio,INDUSTRY,Alzheimer Disease|Dementia of Alzheimer Type,ATH-1017|Placebo,United States,55 Years,85 Years,ALL,"Key Inclusion Criteria:

* Age 55 to 85 years
* Mild-to-moderate AD dementia subjects, MMSE 14-24, CDR 1 or 2 at Screening
* Clinical diagnosis of dementia, due probably to AD, by Revised National Institute on Aging-Alzheimer's Association criteria (McKhann, 2011)
* Body mass index (BMI) of ≥ 18 and ≤ 35 kg/m2 at Screening
* Reliable and capable support person/caregiver
* Treatment-free (subjects not receiving acetylcholinesterase inhibitor \[AChEI\] treatment), defined as:

  * Treatment-naïve, OR
  * Subjects who received an AChEI in the past and discontinued at least 4 weeks prior to Screening

Key Exclusion Criteria:

* History of significant neurologic disease, other than AD, that may affect cognition, or concurrent with the onset of dementia
* Subject has atypical variant presentation of AD, if known from medical history, particularly non-amnestic AD
* History of brain MRI scan indicative of any other significant abnormality
* Diagnosis of severe major depressive disorder even without psychotic features.
* Significant suicide risk
* History within 2 years of Screening, or current diagnosis of psychosis
* Myocardial infarction or unstable angina within the last 6 months
* Clinically significant cardiac arrhythmia (including atrial fibrillation), cardiomyopathy, or cardiac conduction defect (note: pacemaker is acceptable)
* Subject has either hypertension or symptomatic hypotension
* Clinically significant ECG abnormality at Screening
* Chronic kidney disease with estimated glomerular filtration rate (eGFR) \<45 mL/min
* Hepatic impairment with alanine aminotransferase or aspartate aminotransferase \> 2 times the upper limit of normal, or Child-Pugh class B and C
* Malignant tumor within 3 years before Screening
* Memantine in any form, combination or dosage within 4 weeks prior to Screening
* Acetylcholinesterase inhibitors in any dosage form
* The subject has received active amyloid or tau immunization (i.e., vaccination for Alzheimer's disease) at any time, or passive immunization (i.e., monoclonal antibodies for Alzheimer's disease) within 6 months of Screening",Global Statistical Test (GST) Score,This study is designed to evaluate safety and efficacy of fosgonimeton (ATH-1017) in the treatment of mild to moderate Alzheimer's disease with a randomized treatment duration of 26-weeks.,ATH-1017 for Treatment of Mild to Moderate Alzheimer's Disease This study is designed to evaluate safety and efficacy of fosgonimeton (ATH-1017) in the treatment of mild to moderate Alzheimer's disease with a randomized treatment duration of 26-weeks.
NCT07105501,Atrial Amyloid May Influence Outcomes in Patients Undergoing Surgical Aortic Valve Replacement,Hidden Auricular Amyloid Deposits and Aortic Stenosis: Clinical and Prognostic Implications in Aortic Valve Replacement Surgery,COMPLETED,2020-11-03,2023-05-20,OBSERVATIONAL,,,110.0,Germans Trias i Pujol Hospital,OTHER,Aortic Stenosis|Amyloid,,Spain,18 Years,,ALL,"Inclusion Criteria:

* Over 18 years of age.
* Signed specific informed consent (see attached).
* Severe aortic stenosis with surgical indication.
* Elective isolated aortic valve replacement surgery via full or partial median sternotomy.

Exclusion Criteria:

* Urgent or emergency surgery (patients in cardiogenic shock, under intra-aortic balloon pump therapy or any other mechanical support, or receiving vasoactive drugs).
* Combined surgery with any additional procedure.
* Ischemic heart disease with significant lesions confirmed by preoperative invasive catheterization, with or without concomitant revascularization during aortic valve replacement surgery.
* Concomitant endocarditis.
* Inability to collect surgical tissue samples. Initially, all patients with at least one histological sample were included; later, only those with both atrial and septal samples were analyzed.
* Extracardiac disease with a life expectancy of less than 365 days.
* Patient with a previous and/or current diagnosis of any form of amyloidosis.
* Surgical access other than full or partial median sternotomy.
* Patients with severe aortic stenosis but with a TAVI indication as decided by a multidisciplinary heart team (including interventional cardiology, clinical cardiology, and cardiac surgery).",NT-proBNP levels|Metrnl levels|New-onset postoperative atrial fibrillation|Hospital readmission|Postoperative quality of life,"Background (Context):

Some older adults who undergo surgery to replace a narrowed heart valve (called aortic stenosis) may also have small protein deposits in their heart. These protein clumps, known as amyloid, are more often found in people with a certain condition called amyloidosis. However, in many cases, these deposits are found only in the upper chambers of the heart (called atria) and without any previous diagnosis of the disease. The meaning and health impact of these hidden amyloid deposits are still unclear.

Objectives (What the investigators wanted to find out):

This study aimed to understand how common these protein deposits are in people with aortic valve disease, what this deposits are made of, and how they affect recovery and health after heart surgery. To do this, various types of analysis were combined, including tissue samples, blood tests, and advanced genetic studies.

Methods (What the investigators did):

Seventy patients undergoing surgery to replace the aortic valve were studied. During the operation, small samples were collected from the top part of the heart and analyzed in the lab using special dyes and microscopes. Substances in blood were also measured, and health status was monitored over the following year. For some samples, advanced genetic tools were used to investigate processes at the level of individual cells.","Atrial Amyloid May Influence Outcomes in Patients Undergoing Surgical Aortic Valve Replacement Background (Context):

Some older adults who undergo surgery to replace a narrowed heart valve (called aortic stenosis) may also have small protein deposits in their heart. These protein clumps, known as amyloid, are more often found in people with a certain condition called amyloidosis. However, in many cases, these deposits are found only in the upper chambers of the heart (called atria) and without any previous diagnosis of the disease. The meaning and health impact of these hidden amyloid deposits are still unclear.

Objectives (What the investigators wanted to find out):

This study aimed to understand how common these protein deposits are in people with aortic valve disease, what this deposits are made of, and how they affect recovery and health after heart surgery. To do this, various types of analysis were combined, including tissue samples, blood tests, and advanced genetic studies.

Methods (What the investigators did):

Seventy patients undergoing surgery to replace the aortic valve were studied. During the operation, small samples were collected from the top part of the heart and analyzed in the lab using special dyes and microscopes. Substances in blood were also measured, and health status was monitored over the following year. For some samples, advanced genetic tools were used to investigate processes at the level of individual cells."
NCT03448601,Alzheimer's Disease and Precision Medicine Research Among Native People,Specialized Centers of Excellence for Research on Minority Health and Health Disparities: Alzheimer's Disease and Precision Medicine Research: Addressing Gaps in Participation of American Indian and Alaska Native People,COMPLETED,2021-05-01,2024-04-30,INTERVENTIONAL,NA,HEALTH_SERVICES_RESEARCH,523.0,"University of Colorado, Denver",OTHER,Alzheimer Disease,Culturally tailored brochure intervention group|Culturally tailored video intervention group,United States,40 Years,100 Years,ALL,"Inclusion Criteria:

* self-identify as American Indian or Alaska Native
* able to speak, read, and understand English
* age 40 or older
* has cognitive and decisional capacity to consent

Exclusion Criteria:

* do not speak or read English
* vision or hearing impairments that would prevent reading a brochure or watching a video",AD-PM Module Completion|Cohort Enrollment Questionnaire,"This project intends to address the gaps in Alzheimer's disease (AD) and precision medicine (PM) research in American Indian and Alaska Native (AI/AN) populations by comparing written and video-based materials for recruitment into AD and PM research, and by creating an AD-PM registry of AI/AN individuals who are willing to be contacted for future research opportunities.","Alzheimer's Disease and Precision Medicine Research Among Native People This project intends to address the gaps in Alzheimer's disease (AD) and precision medicine (PM) research in American Indian and Alaska Native (AI/AN) populations by comparing written and video-based materials for recruitment into AD and PM research, and by creating an AD-PM registry of AI/AN individuals who are willing to be contacted for future research opportunities."
NCT01815112,Early Diagnosis of Alzheimer-like Dementia: Benefit of MRI and PET Imaging,Benefit of MRI and 18F-FDG PET Imaging in the Early Diagnosis of Alzheimer-like Dementia,TERMINATED,,,INTERVENTIONAL,NA,DIAGNOSTIC,60.0,"Centre Hospitalier Universitaire, Amiens",OTHER,Alzheimer Disease|Mild Cognitive Impairment|Vascular Dementia,Magnetic resonance imaging|Positron emission tomography,France,65 Years,,ALL,"Inclusion Criteria:

* Age: over 65
* Participants (or representatives) gave their written informed consent
* Dementia diagnosed according to Diagnostic and Statistical Manual of Mental Disorders (DSM IV) criteria
* For Alzheimer arm: probable Alzheimer based disease according to NINCDS-ADRDA (National Institute of Neurological and Communicative Disorders and Stroke and the Alzheimer's Disease and Related Disorders Association ) criteria
* For vascular dementia: diagnosis based on NINDS-AIREN (National Institute of Neurological Disorders and Stroke and Association Internationale pour la Recherche et l'Enseignement en Neurosciences) criteria
* For MCI: diagnosis based on Petersen index

Exclusion Criteria:

* Claustrophobia
* Diabetes
* Cardiovascular disease
* Glycemia over 1.3 g/L
* Lumbar puncture within one week before MRI examination
* Non MR-compatible implant
* Suspected brain metastases
* No informed consent signature",Dynamic FDG (fluoro-deoxyglucose) PET,"The physio-pathology of Alzheimer's disease (AD) remains unknown and there is no cure. Thus, the search for objective markers of preclinical first signs of cognitive impairment, is currently a major public health issue. Early detection of the disease is a major challenge to hope to slow or even stop the neurodegenerative process before the stage of dementia.

In AD the investigators observe:

* A reduction in the volume of brain hippocampi associated with an alteration of the diffusion of water molecules in the white matter.
* A structural brain degeneration coupled with a decrease in cerebral glucose metabolism.

Recent publications show that cerebrospinal fluid (CSF)flow is also altered, probably due to dysfunction of the choroid plexus. Hence the potential interest to study is, in addition to conventional imaging, the imaging of CSF dynamics and choroid plexus metabolism. In that aim,the investigators use two imaging modalities:

* Magnetic resonance imaging (MRI) is used to assess blood and CSF flow in the brain
* Positron emission tomography (PET) is used to assess glucose metabolism in grey/white matter and also in choroid plexus.

The investigators expect that, because of choroid plexus atrophy in AD, CSF flow would be altered as well as glucose metabolism dynamic in choroid plexus.","Early Diagnosis of Alzheimer-like Dementia: Benefit of MRI and PET Imaging The physio-pathology of Alzheimer's disease (AD) remains unknown and there is no cure. Thus, the search for objective markers of preclinical first signs of cognitive impairment, is currently a major public health issue. Early detection of the disease is a major challenge to hope to slow or even stop the neurodegenerative process before the stage of dementia.

In AD the investigators observe:

* A reduction in the volume of brain hippocampi associated with an alteration of the diffusion of water molecules in the white matter.
* A structural brain degeneration coupled with a decrease in cerebral glucose metabolism.

Recent publications show that cerebrospinal fluid (CSF)flow is also altered, probably due to dysfunction of the choroid plexus. Hence the potential interest to study is, in addition to conventional imaging, the imaging of CSF dynamics and choroid plexus metabolism. In that aim,the investigators use two imaging modalities:

* Magnetic resonance imaging (MRI) is used to assess blood and CSF flow in the brain
* Positron emission tomography (PET) is used to assess glucose metabolism in grey/white matter and also in choroid plexus.

The investigators expect that, because of choroid plexus atrophy in AD, CSF flow would be altered as well as glucose metabolism dynamic in choroid plexus."
NCT02964611,Social Cognition and Personality Changes in Alzheimer's & Parkinson's Disease & Frontotemporal Lobar Degeneration,"Assessing Changes in Social Cognition and Personality in Patients with Frontotemporal Lobar Degeneration, Alzheimer's Disease and Parkinson's Disease and Their Effect on the Patient-caregiver Relationship",COMPLETED,,2016-08-16,OBSERVATIONAL,,,120.0,"University Health Network, Toronto",OTHER,Alzheimer's Disease|Parkinson's Disease|Frontotemporal Lobar Degeneration,Observational Study,Canada,50 Years,90 Years,ALL,"Inclusion Criteria:

Patients:

* ability to speak and understand the English language (as questionnaires and tests are only available in English)

Caregivers:

* primary caregiver for a given patient
* ability to speak and understand the English language (as questionnaires and tests are only available in English)

Exclusion Criteria:

Patients and Caregivers:

* history of another neurological disorder
* psychiatric disorder
* severe aphasia (semantic word loss)
* visual deficits requiring correction beyond the use of eyeglasses or contact lenses (intact visual acuity is required for completing both the questionnaires and the emotion evaluation test which consists of video vignettes)
* auditory deficits requiring correction beyond hearing aids (videos have auditory component)

Patients:

* presence of pacemakers, aneurysm clips, artificial heart valves, ear implants, metal fragments or foreign objects in the eyes, skin or body will be excluded as they will be unable to have a MRI scan.
* premenopausal women will be excluded due to the unknown risk of MRIs during pregnancy.","Personality via the Interpersonal Adjectives Scales and differences between AD, PD, and FTLD|Personality via the Behaviour Inhibition/Approach Scale (BIS/BAS) and differences between AD, PD, and FTLD|Personality via the Big Five Inventory (BFI) and differences between AD, PD, and FTLD|Social cognition via Social Norms Questionnaire and differences between AD, PD, and FTLD|Social cognition via Interpersonal Reactivity Index (IRI) and differences between AD, PD, and FTLD|Social cognition via Revised Self-Monitoring Scale (RSMS) and differences between AD, PD, and FTLD|Social cognition via Social Behaviour Observer Checklist and differences between AD, PD, and FTLD|Neuropsychiatric Inventory (NPI) and differences between AD, PD, and FTLD|Clinical Dementia Rating Scale (CDR) and differences between AD, PD, and FTLD|Functional Activities Questionnaire (FAQ) and differences between AD, PD, and FTLD|Behavioural Tests composite score and differences between AD, PD, and FTLD|Emotion Evaluation Task (EET) portion of The Awareness of Social Inference Test and differences between AD, PD, and FTLD|Geriatric Depression Scale (GDS) and differences between AD, PD, and FTLD|Neuroimaging and differences between AD, PD, and FTLD","The aim of this study is to compare personality and social cognition changes, including emotion detection and self-awareness, and neuroanatomical correlates in patients, and how that affects the caregiver-patient relationship.","Social Cognition and Personality Changes in Alzheimer's & Parkinson's Disease & Frontotemporal Lobar Degeneration The aim of this study is to compare personality and social cognition changes, including emotion detection and self-awareness, and neuroanatomical correlates in patients, and how that affects the caregiver-patient relationship."
NCT06029894,Improving Sleep and AD Biomarkers,Improving Sleep and Alzheimer's Disease (AD) Biomarkers: A Pilot Randomized Clinical Trial (RCT) of Citicoline,COMPLETED,2023-12-15,2025-12-21,INTERVENTIONAL,NA,TREATMENT,100.0,Emory University,OTHER,Mild Cognitive Impairment|Alzheimer Disease,Citicoline Supplement|Placebo,United States,60 Years,,ALL,"Inclusion Criteria:

* Age: 60 years or older
* Diagnosis of Mild Cognitive Impairment (MCI)
* Pittsburgh Sleep Quality Index total score \>5 or Epworth Sleepiness Scale score of ≥ 10
* Read and understand English
* Have Internet and email access

Exclusion Criteria:

* No telephone access
* Must not be taking any medication known to affect rapid eye movement (REM) sleep (or sleep architecture in general)
* Use of choline supplements.
* Epilepsy or head trauma resulting in unconsciousness in the past two years
* Known allergic reactions to components of Citicoline
* Presence of chronic obstructive pulmonary disease, asthma, severe cardiac insufficiency (congestive heart failure, myocardial infarction), type I diabetes, vitamin B12 or folic acid deficiency, liver cirrhosis, thyroid dysfunction, rheumatoid arthritis, chronic renal failure, severe/unstable psychiatric disorders, moderate to severe obstructive sleep apnea, restless legs syndrome or periodic limb movement disorder
* History of alcohol dependence and drug abuse
* Night shift workers or those in situations where they regularly experience jet lag or have irregular work schedules",Change in the Pittsburgh Sleep Quality Index (PSQI)|Change in the Epworth Sleepiness Scale (ESS)|Change in percentage of the rapid eye movement (REM) sleep|Change in sleep duration|Change in plasma choline levels|Change in beta-amyloid 42 levels|Change in tau and phospho-tau levels,"The purpose of this research is to learn whether a dietary citicoline supplement will impact sleep and cognition. Cognitive disorders include such things as memory disorders and mild cognitive impairment. The investigators are studying persons with mild cognitive impairment (MCI). For this population, the team will assess whether citicoline also impacts biomarkers, a marker of the patient's biological state, in their body.

The investigators are interested in learning more about a dietary supplement called citicoline and how it helps sleep, cognition, and markers of Alzheimer's. Previous studies have evaluated this dietary supplement and shown that citicoline may impact cognitive decline. The investigator would like to evaluate if citicoline will also impact sleep and markers of Alzheimer's. This dietary supplement has been assessed in older adults and found to be well tolerated. Citicoline has been used safely in cognitive impairment populations at the same dosage.","Improving Sleep and AD Biomarkers The purpose of this research is to learn whether a dietary citicoline supplement will impact sleep and cognition. Cognitive disorders include such things as memory disorders and mild cognitive impairment. The investigators are studying persons with mild cognitive impairment (MCI). For this population, the team will assess whether citicoline also impacts biomarkers, a marker of the patient's biological state, in their body.

The investigators are interested in learning more about a dietary supplement called citicoline and how it helps sleep, cognition, and markers of Alzheimer's. Previous studies have evaluated this dietary supplement and shown that citicoline may impact cognitive decline. The investigator would like to evaluate if citicoline will also impact sleep and markers of Alzheimer's. This dietary supplement has been assessed in older adults and found to be well tolerated. Citicoline has been used safely in cognitive impairment populations at the same dosage."
NCT00860275,Drug-Drug Interaction (DDI) w/Ketoconazole or Fluconazole,A Study of the Effect of Concomitant Administration of Ketoconazole or Fluconazole on the Pharmacokinetics of BMS-708163 in Healthy Subjects,COMPLETED,,,INTERVENTIONAL,PHASE1,BASIC_SCIENCE,30.0,Bristol-Myers Squibb,INDUSTRY,Alzheimer Disease,BMS-708163|BMS-708163 + Ketoconazole|Ketoconazole|Fluconazole|BMS-708163 + Fluconazole,United States,18 Years,55 Years,ALL,"Inclusion Criteria:

* Healthy male and postmenopausal female subjects 18-55 yrs old inclusive

Exclusion:

* Premenopausal women",PK profile of BMS-708163,The purpose of the study is to determine if the concomitant administration of either ketoconazole or fluconazole with BMS-708163 will affect the PK of BMS-708163 and to assess safety and tolerability of BMS-708163,Drug-Drug Interaction (DDI) w/Ketoconazole or Fluconazole The purpose of the study is to determine if the concomitant administration of either ketoconazole or fluconazole with BMS-708163 will affect the PK of BMS-708163 and to assess safety and tolerability of BMS-708163
NCT07169630,PET Imaging of Phosphodiesterase-4 (PDE4) in Volunteers With Alzheimer Disease (AD) or Mild Cognitive Impairment (MCI),PET Imaging of Phosphodiesterase-4 (PDE4) in Volunteers With Alzheimer s Disease (AD) or Mild Cognitive Impairment (MCI),RECRUITING,2026-05-13,2030-04-11,INTERVENTIONAL,PHASE1,DIAGNOSTIC,90.0,National Institute of Mental Health (NIMH),NIH,Alzheimer s Disease|Mild Cognitive Impairment|Healthy,18F-PF974|18F-florbetaben,United States,50 Years,100 Years,ALL,"* INCLUSION CRITERIA:

Participants will be referred by a physician with the suspected diagnosis of AD or MCI. However, the PI of this protocol will provide the final diagnosis. For this reason, this protocol will have just one consent form for participants suspected of having either AD or MCI.

AD and MCI Study Groups:

Participants must meet all the following criteria:

* Aged 50 or older.
* Be able (or have their Legally Authorized Representative (LAR) be able) to understand the study and be willing to sign a written informed consent document.
* Have been diagnosed by a neurologist or psychiatrist with MCI or AD.
* Be in good general health as evidenced by medical history and physical examination.
* Have had their radial artery pulse checked for the presence of adequate ulnar collateral flow and the absence of any metal or foreign objects in both wrists.
* Agree to adhere to the lifestyle considerations.

Healthy Volunteers:

Participants must meet all the following criteria:

* Aged 50 or older.
* Able to provide informed consent.
* Be in good general health, as evidenced by medical history and physical examination, and have no cognitive impairment.
* Have had their radial artery pulse checked for the presence of adequate ulnar collateral flow and the absence of any metal or foreign objects in both wrists.
* Agree to adhere to the lifestyle considerations.

EXCLUSION CRITERIA:

Both the study groups will be excluded if they meet any of the following criteria:

* Clinically significant abnormalities on EKG or laboratory testing. This includes CBC and acute care panel (Na, K, Cl, CO2, creatinine, glucose, urea nitrogen).
* Participants should not have taken non-steroidal anti-inflammatory drugs (NSAIDs) for two weeks prior to the PET scan. Aspirin, corticosteroids (with the exception of skin products), or immunosuppressants (e.g., methotrexate) must not have been taken in the prior month.
* Have other major neurological or medical diseases that may cause cognitive dysfunction, such as structural brain diseases, metabolic diseases, paraneoplastic syndromes, infectious diseases, or other significant neurological abnormalities.
* Have an unstable medical condition that, in the opinion of the investigators, makes participation unsafe (e.g., an active infection or untreated malignancy).
* Are unable to travel to the NIH.
* Have recent exposure to radiation related to research (e.g., PET from other research) that, when combined with this study, would be above the allowable limits.
* Have an inability to lie flat and/or lie still on the camera bed for at least two hours, including claustrophobia, overweight greater than the maximum for the scanner, and uncontrollable behavioral symptoms, which will be screened by an interview with the volunteer and/or caregiver during the screening visit.
* Participants must not have substance use disorder or alcohol use disorder.
* Participants should not be under treatment or previously treated with an amyloid antibody such as lecanemab.
* Are unable to have an MRI scan (e.g., because of pacemakers or other implanted electrical devices, brain stimulators, dental implants, aneurysm clips (metal clips on the wall of a large artery), metallic prostheses (including metal pins and rods, heart valves, and cochlear implants), permanent eyeliner, implanted delivery pumps, shrapnel fragments, or metal fragments in the eye).
* Pregnancy or breast feeding.
* HIV infection.
* Non-English speaking participants.

Exclusion of Children:

Inclusion of children is not appropriate, because this protocol has more than minimal risk from radiation exposure without the possibility of direct benefit.

Exclusion of Pregnant or Breastfeeding Women:

Pregnant women will be excluded because this protocol involves exposure to ionizing radiation. Lactating women will be excluded because radioisotopes may be excreted in milk. We will not require contraception for this protocol to allow participants autonomy in medical decision-making. However, while we will not require contraception for woman of childbearing potential, we will perform a pregnancy test at screening and prior to all procedures to ensure participants are not pregnant

Exclusion of Participants who are HIV Positive:

Persons with HIV infection are excluded because HIV infection itself may change cAMP signaling.

Exclusion of Non-English-Speaking Participants:

Non-English-speaking participants will be excluded from participation in this study because neuropsychological testing is required by this protocol. This testing, which is critical for interpreting study results, has not been validated in other languages or when using a translator.",To determine whether PDE4B radioligand binding is increased in medial temporal lobe of participants with AD or MCI (both A <= positive) compared to age-and sex matched HVs (who are A <= negative.,"Background:

About 5 million adults in the United States have age-related brain disorders. These include Alzheimer disease (AD), mild cognitive impairment (MCI), and other dementias. The number of people with these disorders will likely increase as the population ages and life span increases. Inflammation is thought to play a role in AD and MCI. Researchers want to know if an enzyme called PDE4B increases inflammation in people with AD or MCI.

Objective:

To test whether medical imaging using a new radiotracer (\[18F\]PF-06445974) can measure PDE4B in the brains of people with AD or MCI.

Eligibility:

People aged 50 years and older with AD or MCI. Healthy volunteers are also needed.

Design:

Participants will have up to 5 clinic visits with 3 imaging scans of the brain.

They will have be screened. They will have a physical exam with blood tests. This will include tests of their heart and nerve function, including memory.

Participants will have 2 positron emission tomography (PET) scans. One will use a standard radiotracer. The other will use the study radiotracer. They will receive each tracer through a tube attached to a needle inserted into a vein. During the scan with the study tracer, participants will have a second tube inserted into a vein in the wrist; this tube will be used to draw blood during the scan. Participants will lie on a bed that slides into a doughnut-shaped machine. These visits will take about 6 hours each.

Participants will have 1 magnetic resonance imaging (MRI) scan. They will lie on a bed that slides into a cylinder. This visit will take up to 2 hours....","PET Imaging of Phosphodiesterase-4 (PDE4) in Volunteers With Alzheimer Disease (AD) or Mild Cognitive Impairment (MCI) Background:

About 5 million adults in the United States have age-related brain disorders. These include Alzheimer disease (AD), mild cognitive impairment (MCI), and other dementias. The number of people with these disorders will likely increase as the population ages and life span increases. Inflammation is thought to play a role in AD and MCI. Researchers want to know if an enzyme called PDE4B increases inflammation in people with AD or MCI.

Objective:

To test whether medical imaging using a new radiotracer (\[18F\]PF-06445974) can measure PDE4B in the brains of people with AD or MCI.

Eligibility:

People aged 50 years and older with AD or MCI. Healthy volunteers are also needed.

Design:

Participants will have up to 5 clinic visits with 3 imaging scans of the brain.

They will have be screened. They will have a physical exam with blood tests. This will include tests of their heart and nerve function, including memory.

Participants will have 2 positron emission tomography (PET) scans. One will use a standard radiotracer. The other will use the study radiotracer. They will receive each tracer through a tube attached to a needle inserted into a vein. During the scan with the study tracer, participants will have a second tube inserted into a vein in the wrist; this tube will be used to draw blood during the scan. Participants will lie on a bed that slides into a doughnut-shaped machine. These visits will take about 6 hours each.

Participants will have 1 magnetic resonance imaging (MRI) scan. They will lie on a bed that slides into a cylinder. This visit will take up to 2 hours...."
NCT05669495,ANNE Vital Sign System Remote Sleep Assessment,Remote Sleep Assessment in Adults at Risk for Dementia Using the ANNE Vital Sign System,UNKNOWN,2022-11-10,,OBSERVATIONAL,,,750.0,Sunnybrook Health Sciences Centre,OTHER,Alzheimer Disease|Dementia|Mild Cognitive Impairment|Sleep Apnea,ANNE Vital Sign System,Canada,60 Years,85 Years,ALL,"Inclusion Criteria:

* The only inclusion criteria for this study is that participants must have consented and enrolled into a CTU affiliated study. There are no additional inclusion criteria. Individuals from CTU affiliated studies will be asked to confirm their enrollment in a CTU affiliated study as part of the informed consent process for this study.

For reference, inclusion criteria of CTU affiliated studies from which we will recruit may include, but are not limited to, the following list:

1. Ages 60-85
2. Sufficient proficiency in English or French
3. Technical ability to participate in remote assessments
4. Meets criteria for No Dementia and one of the following (according to CCNA Criteria):

   1. Cognitively Unimpaired
   2. Cognitively Unimpaired plus Subjective Cognitive Impairment
   3. Mild Cognitive Impairment (MCI)
5. AND Classified as being at increased risk of dementia based on at least one of the following: a. First-degree family history of dementia b. Self-Reported or documented current and/or history at midlife (45-60 years) of the following risk factors: i. Hypertension ii. Hypercholesterolemia iii. Body Mass Index \> 30 kg/m2 iv. Physical Inactivity v. Insomnia vi. Vascular-metabolic risk

Exclusion Criteria:

1. Known nickel allergy
2. Known cardiac implantable device
3. Known arrhythmias
4. Otherwise unable to use the sensors; for example, finger amputations

For reference, exclusion criteria of CTU affiliated studies from which we will recruit may include, but are not limited to, the following list:

1. Participants who, in the opinion of the investigator, are not able to complete trial procedures remotely or adhere to the schedule of study assessments.
2. Individuals where English or French is not sufficiently proficient for remote clinical assessment.
3. Individuals who do not have the technical ability. Technical ability is defined as having computer and internet access; ability to send and receive emails; ability to participate in remote assessments.
4. Individuals who have a clinical diagnosis of Dementia
5. Clinical Dementia Rating (CDR; telephone/video-conference administration) Score of \>1 or having a diagnosis of dementia based on DSM-IV criteria
6. Total Score on the Montreal Cognitive Assessment (MoCA; video-conference administration) \<13",Apnea Hypopnea Index|Apnea Hypopnea Index|Oxygen Desaturation Index|Oxygen Desaturation Index|Hypoxemia Burden|Hypoxemia Burden|Time with oxygen saturation below 90% (O2<90)|Time with oxygen saturation below 90% (O2<90),"Sleep apnea is characterized by temporary pauses or stops to participant's breathing. Currently, sleep apnea is diagnosed using an in-lab sleep study, which involves spending a night in a sleep laboratory hooked up to wires on the head, chest, and legs. However, this is not feasible for many older adults. To overcome this barrier, the investigators will utilize an investigational vital signs monitor - the Advanced NeoNatal Epidermal (ANNE) Vital Sign System (Sibel Health, Evanston, IL,USA).

The primary objective of this study is to test the hypothesis that sleep apnea is associated with accelerated cognitive decline in older adults at risk for dementia. The investigators will measure sleep apnea at baseline and 12 months later and relate this to cognitive function at the same time points.

Sex-stratification will be used in analyses as appropriate. Qualitative feedback forms will be used to collect information about participant ease of use and experience with the ANNE Vital Sign System.","ANNE Vital Sign System Remote Sleep Assessment Sleep apnea is characterized by temporary pauses or stops to participant's breathing. Currently, sleep apnea is diagnosed using an in-lab sleep study, which involves spending a night in a sleep laboratory hooked up to wires on the head, chest, and legs. However, this is not feasible for many older adults. To overcome this barrier, the investigators will utilize an investigational vital signs monitor - the Advanced NeoNatal Epidermal (ANNE) Vital Sign System (Sibel Health, Evanston, IL,USA).

The primary objective of this study is to test the hypothesis that sleep apnea is associated with accelerated cognitive decline in older adults at risk for dementia. The investigators will measure sleep apnea at baseline and 12 months later and relate this to cognitive function at the same time points.

Sex-stratification will be used in analyses as appropriate. Qualitative feedback forms will be used to collect information about participant ease of use and experience with the ANNE Vital Sign System."
