paper_id,title,year,citation_count,topic_id,topic_score,topic_label
d18c27657893355ee7b282976be800b7ce68dfd7,Lecanemab in Early Alzheimer's Disease.,2022,3354,2,0.16803394757755427,Amyloid/Tau Pathology
51a19a44249abc555782fdd441cedd26b5a773f0,2023 Alzheimer's disease facts and figures,2023,2469,1,0.522611845841383,"Care, Lifestyle & QoL"
6e8be34889a4b5f8650dc893f8b366a05baab254,Revised criteria for diagnosis and staging of Alzheimer's disease: Alzheimer's Association Workgroup,2024,1816,2,0.09037064294706054,Amyloid/Tau Pathology
8e14c84f475588c91d779634957ac45c0b55973a,2024 Alzheimer's disease facts and figures,2024,1777,1,0.515768278127506,"Care, Lifestyle & QoL"
fa78b9b164ea8822e775f65d4f6c22f00887c92c,New insights into the genetic etiology of Alzheimer’s disease and related dementias,2022,1716,4,0.22598454724033848,Neuroinflammation & Immune
a5be75de4f611aafae1f2bb3d1b0f36981730a14,2022 Alzheimer's disease facts and figures,2022,1702,1,0.5130975627695454,"Care, Lifestyle & QoL"
4a5411232aad871e15ef6e5fd43422a1242675cf,Comprehensive Review on Alzheimer’s Disease: Causes and Treatment,2020,2141,5,0.12312313876346069,Drug/Therapeutic Interventions
9617bd330478da187626e06dd5a5e05ba9530edc,2021 Alzheimer's disease facts and figures,2021,1919,1,0.5221255646191089,"Care, Lifestyle & QoL"
2a3f8208aadb36d1c90d869252fa5f052bace572,Single-cell transcriptomic analysis of Alzheimer’s disease,2019,2062,4,0.1137965394885068,Neuroinflammation & Immune
33caecb2cd1ae27f8c8262633ab636052b1637e1,The neuropathological diagnosis of Alzheimer’s disease,2019,2650,0,0.09968090666007128,Amyloid/Tau Pathology
0585533f99b3aa700aa674590012c96739b8eff2,Genome-wide meta-analysis identifies new loci and functional pathways influencing Alzheimer’s disease risk,2019,1975,4,0.19030619172708066,Neuroinflammation & Immune
b602087626c2aa8fd21c0974efb0c3ed16c46c2c,Population estimate of people with clinical Alzheimer's disease and mild cognitive impairment in the United States (2020–2060),2021,975,1,0.14019018926807295,"Care, Lifestyle & QoL"
47566584c77bdc688a0287f9093920f50c14efa9,2020 Alzheimer's disease facts and figures,2020,1952,1,0.49894942323748165,"Care, Lifestyle & QoL"
a35fa5a99e83433905d4c13f5fcf888859b75782,NIA-AA Research Framework: Toward a biological definition of Alzheimer’s disease,2018,1840,2,0.14984876839463618,Amyloid/Tau Pathology
14432239a5ce62e6668d87082679da34186f7499,"Genetic meta-analysis of diagnosed Alzheimer’s disease identifies new risk loci and implicates Aβ, tau, immunity and lipid processing",2019,2370,4,0.13425017493216088,Neuroinflammation & Immune
5eb19d1951890e3eb933f261fcbdf31c0df3f5aa,"Global, regional, and national burden of Alzheimer's disease and other dementias, 1990–2016: a systematic analysis for the Global Burden of Disease Study 2016",2019,2301,1,0.26333216609306426,"Care, Lifestyle & QoL"
5e92ac79f8fd89b1dfe1dda97966ff30b8defd50,Donanemab in Early Alzheimer's Disease.,2021,1180,2,0.14166933598474618,Amyloid/Tau Pathology
7650a9e9adf007166847a75dd1a3038f4109875b,2019 Alzheimer's disease facts and figures,2019,1909,1,0.457959673560228,"Care, Lifestyle & QoL"
44576d6f297cf4d411545ed1467999e9dcacb9b3,"Genetic meta-analysis of diagnosed Alzheimer’s disease identifies new risk loci and implicates Aβ, tau, immunity and lipid processing",2019,823,4,0.13425017493216088,Neuroinflammation & Immune
f7433a85abc3b08095f572afbf50e7c495296d53,2025 Alzheimer's disease facts and figures,2025,289,1,0.5126744832822311,"Care, Lifestyle & QoL"
ab43362d0b11b22a2990fae7310765ca67f1c4f2,2018 Alzheimer's disease facts and figures,2018,1608,1,0.05390549290742091,"Care, Lifestyle & QoL"
34b0d5e137f7c21deb47426f9644255569c01ead,The Amyloid-β Pathway in Alzheimer’s Disease,2021,1523,0,0.11296235308803114,Amyloid/Tau Pathology
42cf135e52bf19e018b91a9dde73003068e354ca,Porphyromonas gingivalis in Alzheimer’s disease brains: Evidence for disease causation and treatment with small-molecule inhibitors,2019,1636,0,0.06633534470292153,Amyloid/Tau Pathology
3b2efdbe935287d6cc2104d6ffb97d88d85a274d,"Global, regional, and national burden of Alzheimer's disease and other dementias, 1990–2019",2022,547,1,0.16365432087450055,"Care, Lifestyle & QoL"
0f2aa6ed82c4784911adf6516a4d87946280ac3b,Two Randomized Phase 3 Studies of Aducanumab in Early Alzheimer’s Disease,2022,1094,2,0.10767709174202895,Amyloid/Tau Pathology
